scale,schema,build_seconds,nodes,edges,mbytes
1000,flat,0.044,12850,55309,29.9
1000,flat_indexed,0.09,12850,55309,30.0
1000,mid,0.21,13036,73449,34.7
3000,flat,0.343,38990,167734,91.2
3000,flat_indexed,0.492,38990,167734,91.7
3000,mid,0.977,39394,222527,106.4
10000,flat,0.786,129558,555604,307.8
10000,flat_indexed,1.899,129558,555604,309.5
10000,mid,3.67,130824,738604,349.5
